
5:36:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:36:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:36:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:37:00 pm Platform : API, Module : Receipt, Error : Error: connect ENETUNREACH 172.16.1.222:5433, Functionality : syncReceipt
5:37:00 pm Platform : API, Module : Notification, Error : Error: connect ENETUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:37:00 pm Platform : API, Module : Payment, Error : Error: connect ENETUNREACH 172.16.1.222:5433, Functionality : syncPayment
5:38:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:38:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:38:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:39:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:39:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:39:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:40:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:40:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:40:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:41:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:41:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:41:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:42:00 pm Platform : API, Module : Receipt, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncReceipt
5:42:00 pm Platform : API, Module : Notification, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:42:00 pm Platform : API, Module : Payment, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncPayment
5:43:00 pm Platform : API, Module : Receipt, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncReceipt
5:43:00 pm Platform : API, Module : Notification, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:43:00 pm Platform : API, Module : Payment, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncPayment
5:44:10 pm Platform : API, Module : Receipt, Error : Error: connect ECONNABORTED 172.16.1.222:5433, Functionality : syncReceipt
5:44:10 pm Platform : API, Module : Notification, Error : Error: connect ECONNABORTED 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:44:10 pm Platform : API, Module : Payment, Error : Error: connect ENETUNREACH 172.16.1.222:5433, Functionality : syncPayment
5:45:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:45:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:45:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:46:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:46:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:46:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:47:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:47:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:47:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:48:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:48:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:48:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:49:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:49:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:49:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:50:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:50:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:50:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:51:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
